		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
25/09/26	1:00	24.8	24.8	24.8	100	24.8	1.8	NW	6.44	5.8	NW	24.8	27.6	27.6	1004.2	2.80	32.8	0.000	0.269	27.2	61	19.0	28.2	10.95	1.1401	1334	3	100.0	60
25/09/26	2:00	24.5	24.8	24.5	100	24.5	0.9	NW	3.22	4.0	NW	24.5	27.0	27.0	1003.2	3.20	33.0	0.000	0.257	27.1	61	18.9	28.0	10.95	1.1394	1328	3	100.0	60
25/09/26	3:00	24.3	24.6	24.3	100	24.3	1.3	NNW	4.83	4.5	NW	24.3	26.7	26.7	1002.2	6.40	9.4	0.000	0.250	27.2	63	19.6	28.5	11.33	1.1366	1328	3	100.0	60
25/09/26	4:00	24.6	24.7	24.3	100	24.6	4.0	WNW	14.48	9.8	WNW	23.8	27.1	26.4	1001.7	3.00	4.8	0.000	0.259	27.3	65	20.2	28.9	11.73	1.1345	1332	3	100.0	60
25/09/26	5:00	24.9	24.9	24.4	100	24.9	4.9	WNW	17.70	9.8	WNW	23.6	27.8	26.5	1001.6	0.80	2.6	0.000	0.273	27.4	67	20.8	29.4	12.12	1.1330	1335	3	100.0	60
25/09/26	6:00	25.1	25.1	24.9	100	25.1	4.5	WNW	16.09	8.9	NW	24.0	28.1	27.1	1001.9	2.00	3.2	0.000	0.280	27.4	65	20.2	29.0	11.72	1.1345	1327	3	100.0	60
25/09/26	7:00	25.0	25.2	25.0	100	25.0	4.0	WNW	14.48	7.6	W	24.3	28.0	27.3	1002.0	1.40	5.2	0.000	0.278	27.4	66	20.5	29.2	11.92	1.1339	1332	3	100.0	60
25/09/26	8:00	24.6	25.1	24.5	100	24.6	6.7	WNW	24.14	13.0	NW	22.6	27.1	25.1	1002.5	8.60	61.6	0.000	0.259	27.6	66	20.6	29.4	11.92	1.1339	1331	3	100.0	60
25/09/26	9:00	24.6	24.7	24.4	100	24.6	5.4	WNW	19.31	12.1	WNW	23.1	27.2	25.7	1003.4	6.60	24.8	0.000	0.262	27.6	68	21.1	29.7	12.32	1.1340	1330	3	100.0	60
25/09/26	10:00	24.6	24.8	24.4	100	24.6	6.3	WNW	22.53	14.3	WNW	22.7	27.1	25.2	1004.3	12.40	30.6	0.000	0.259	27.4	66	20.5	29.2	11.92	1.1365	1326	3	100.0	60
25/09/26	11:00	24.4	24.6	24.1	100	24.4	6.3	WNW	22.53	14.3	WNW	22.6	26.9	25.0	1004.6	13.80	28.4	0.000	0.255	27.5	67	20.8	29.5	12.12	1.1362	1329	3	100.0	60
25/09/26	12:00	25.1	25.1	24.4	100	25.1	4.9	WNW	17.70	10.7	W	23.8	28.3	27.0	1004.2	0.80	7.6	0.000	0.282	27.4	66	20.5	29.2	11.92	1.1365	1320	3	100.0	60
25/09/26	13:00	24.8	25.1	24.7	100	24.8	4.9	WNW	17.70	9.4	NW	23.5	27.6	26.3	1003.3	3.60	8.4	0.000	0.269	27.1	69	20.9	28.9	12.52	1.1362	1330	3	100.0	60
